x y lat lon sand clay color fractional coverage of grid by vegetation class (columns: 18 IGBP classes, sum to 1.0 per cell) -- ParFlow-CLM v3.15 (2026)
CLASSIC 2-LINE HEADER: drv_readvegtf skips exactly two lines; do NOT add banner comments here (they get read as data and crash CLM init)
5 3 38.680893 -107.030398 0.42 0.20 5 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
6 3 38.682048 -107.018644 0.25 0.30 4 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
7 3 38.683201 -107.006890 0.21 0.31 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
8 3 38.684354 -106.995136 0.27 0.29 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
9 3 38.685504 -106.983381 0.39 0.24 5 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
10 3 38.686654 -106.971625 0.36 0.30 4 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
11 3 38.687802 -106.959869 0.36 0.30 4 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
12 3 38.688948 -106.948113 0.36 0.30 4 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
13 3 38.690094 -106.936356 0.38 0.27 5 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
14 3 38.691238 -106.924599 0.38 0.25 5 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
15 3 38.692380 -106.912842 0.39 0.21 5 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
16 3 38.693522 -106.901084 0.41 0.19 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
17 3 38.694662 -106.889325 0.38 0.21 5 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
18 3 38.695800 -106.877566 0.37 0.28 5 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
19 3 38.696937 -106.865807 0.36 0.29 4 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
20 3 38.698073 -106.854047 0.44 0.19 5 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
21 3 38.699208 -106.842287 0.42 0.21 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
22 3 38.700341 -106.830527 0.40 0.22 5 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
23 3 38.701473 -106.818766 0.40 0.23 5 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
24 3 38.702604 -106.807004 0.67 0.12 3 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
25 3 38.703733 -106.795243 0.68 0.12 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
26 3 38.704861 -106.783480 0.64 0.12 3 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
27 3 38.705987 -106.771718 0.68 0.12 3 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
28 3 38.707112 -106.759955 0.68 0.10 3 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
29 3 38.708236 -106.748191 0.66 0.08 3 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
30 3 38.709359 -106.736427 0.69 0.08 5 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
31 3 38.710480 -106.724663 0.69 0.08 5 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
32 3 38.711600 -106.712898 0.49 0.12 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 4 38.685435 -107.078895 0.45 0.14 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 4 38.686596 -107.067142 0.46 0.15 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3 4 38.687755 -107.055388 0.38 0.25 5 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4 4 38.688912 -107.043633 0.40 0.24 5 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5 4 38.690069 -107.031878 0.42 0.20 4 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
6 4 38.691224 -107.020123 0.20 0.32 5 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
7 4 38.692377 -107.008367 0.47 0.20 5 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
8 4 38.693529 -106.996611 0.49 0.19 4 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
9 4 38.694680 -106.984854 0.36 0.29 4 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
10 4 38.695830 -106.973097 0.36 0.30 4 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
11 4 38.696978 -106.961339 0.36 0.30 4 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
