date,LE_W/m2,H_W/m2,Rn_W/m2,TA_degC,G_W/m2,et_mm_day_published
2017-08-06,131.5582779,18.13835511,170.2767923,14.14242665,19.51416241,3.597995287
2017-08-07,62.66746775,12.00310651,115.7457521,11.84399945,19.38506976,2.164921717
2017-08-08,105.745357,20.88828825,157.2145239,11.72425024,19.39012104,2.739823724
2017-08-09,147.8677761,29.38786279,204.8888046,13.22932307,19.65168999,3.831200275
2017-08-10,123.8718689,15.74616683,178.1548885,13.65862378,19.95960408,3.922691729
2017-08-11,94.18814094,3.606617863,122.6713477,12.98768185,19.91717711,2.711533846
2017-08-12,109.875816,10.10613274,141.1062073,13.32029768,19.63602844,3.321316149
2017-08-13,108.793128,18.58642169,163.4138167,12.34388761,19.33648633,3.601787683
2017-08-14,84.03564006,8.298029841,140.1985056,12.14349683,19.33856059,2.540221667
2017-08-15,131.9212511,2.022472716,113.079477,13.71568847,19.58827423,2.848359679
2017-08-16,102.5162414,25.92960783,175.2194926,10.57233232,19.349992,3.541544685
2017-08-17,95.72520452,11.92801636,138.908139,9.660513803,19.41097252,3.306940292
2017-08-18,121.9664566,28.02043194,187.856641,12.52928217,19.19231421,3.68679093
2017-08-19,106.7070501,19.33866352,171.7903435,11.57622416,19.1786632,3.686321122
2017-08-20,91.78343196,8.254870629,145.7910737,12.45416763,19.04749564,3.170767102
2017-08-21,79.43412866,7.926484056,120.981712,12.25499349,18.97477736,2.629806419
2017-08-22,94.09871284,16.26042152,120.751579,13.55815723,18.94053544,2.302615444
2017-08-23,133.4930986,31.52873239,154.5501447,15.4310939,18.94967828,3.07445121
2017-08-24,61.91289574,5.134369132,78.92497779,10.47106686,18.89174558,1.960616291
2017-08-25,107.1938991,28.38987554,150.9505358,15.83403509,18.78869086,2.314462436
2017-08-26,103.3070394,24.17112989,174.4994853,13.03291906,19.22847166,3.42016108
2017-08-27,93.60621873,15.99433264,144.2387158,12.68758094,19.19228826,3.233737424
2017-08-28,104.6410662,25.24891132,162.5511869,13.60062122,19.08732498,3.464326382
2017-08-29,75.6684215,17.50464657,130.382752,13.81485756,19.03784808,2.614055025
2017-08-30,68.90927623,13.9830181,113.2028211,13.00103129,18.96142198,2.380552366
2017-08-31,97.52975412,25.51488353,129.0273721,13.27911868,18.86376417,2.948120516
2017-09-01,133.619028,40.75354184,151.1814718,15.87948332,19.01443124,2.692682531
2017-09-02,86.39599793,41.79167098,172.3093632,14.21562716,19.09473598,2.735930842
2017-09-03,78.9602834,30.41939679,143.0358851,13.70260305,19.24954124,2.727776284
2017-09-04,76.17738818,28.26025655,142.6859167,13.75143388,19.15696889,2.63163788
2017-09-05,75.7212374,14.13377801,111.8857541,12.91307074,19.07167898,2.615879613
2017-09-06,73.27122272,27.78896898,114.6536679,11.73253306,18.90262203,2.531240961
2017-09-07,87.21597343,53.44484783,140.9416411,,18.98148858,2.259734138
2017-09-08,,,141.3562622,,19.07357032,
2017-09-09,,,101.9027586,,18.82611913,
2017-09-10,,,101.2527098,,18.14536265,
2017-09-11,,,95.81099191,,17.8181507,
2017-09-12,,,124.0584916,,17.56373283,
2017-09-13,,,144.4967974,,18.13878995,
2017-09-14,,,92.51177749,,18.33058758,
2017-09-15,,,125.8953445,,19.00284246,
2017-09-16,,,93.82297389,,19.10685951,
2017-09-17,,,76.8278516,,18.93810261,
2017-09-18,,,121.1899828,,18.74135914,
2017-09-19,,,128.02283,,19.04600657,
2017-09-20,,,138.6228562,,18.93540496,
2017-09-21,,,115.4227881,,18.99736648,
2017-09-22,47.9557864,50.48057255,61.18660822,,35.68796489,0.966402093
2017-09-23,30.30126298,-0.444342605,27.14496053,,18.57916264,0.61062921
2017-09-24,75.64530402,109.7397254,164.055981,,18.08022979,1.524399569
2017-09-25,27.224154,69.91722284,121.9981108,1.244509305,18.90383595,0.940490566
2017-09-26,21.70601781,61.70969852,114.0609278,3.424127046,18.70518131,0.749860031
2017-09-27,15.57706106,43.02160294,86.89757942,,18.66048775,0.51570598
2017-09-28,42.59011959,31.66423433,69.45826946,,18.95812099,0.858273502
2017-09-29,36.50824484,30.48760273,80.10018779,,20.08982484,0.94591534
2017-09-30,25.56696466,22.20231037,65.28701745,,20.80857533,0.552025626
2017-10-01,39.10870423,19.35065638,58.102406,,21.77166442,0.788116231
